Nombre del apartamento;Precio;Area;Habitaciones;Baños
Apartamento en Arriendo, LA SAGRAD…;$500.000;50 m²;2;1
Apartamento en Arriendo, Ciudad Verd…;$520.000;43 m²;2;1
Apartamento en Arriendo, El Porvenir, …;$550.000;43 m²;2;1
Apartamento en Arriendo, Tierra Buen…;$580.000;48 m²;2;1
Apartamento en Arriendo, Canada La …;$600.000;50 m²;2;1
Apartamento en Arriendo, CIUDAD VE…;$600.000;70 m²;2;2
Apartamento en Arriendo, Candelaria …;$600.000;60 m²;2;1
Apartamento en Arriendo, El Quindio, …;$600.000;80 m²;2;1
Apartamento en Arriendo, San Francis…;$600.000;50 m²;2;1
Apartamento en Arriendo, Gran Yomas…;$610.000;42.95 m²;2;1
Apartamento en Arriendo, Buenos Aire…;$611.000;47.3 m²;2;1
Apartamento en Arriendo, Marruecos, …;$620.000;40 m²;2;1
Apartamento en Arriendo, Molinos Seg…;$620.000;50 m²;2;1
Apartamento en Arriendo, Altamira, B…;$650.000;50 m²;2;1
Apartamento en Arriendo, Bosa Porve…;$650.000;40 m²;2;1
Apartamento en Arriendo, San jose, Bo…;$650.000;84 m²;2;1
Apartamento en Arriendo, FLORALIA, …;$650.000;40 m²;2;1
Apartamento en Arriendo, YOMOSA, B…;$650.001;43 m²;2;1
Apartamento en Arriendo, YOMOSA, B…;$650.009;43 m²;2;1
Apartamento en Arriendo, BOSA BRAS…;$670.000;35 m²;2;1
Apartamento en Arriendo, Ciudad Ken…;$670.000;42 m²;2;1
Apartamento en Arriendo, Floralia I Y Ii…;$680.000;40 m²;2;1
Apartamento en Arriendo, BUENOS AI…;$695.000;35 m²;2;1
Apartamento en Arriendo, Kennedy ca…;$700.000;70 m²;2;1
Apartamento en Arriendo, SAN CRISTO…;$700.000;45 m²;2;1
Apartamento en Arriendo, INGLES, Bo…;$700.000;60 m²;2;1
Apartamento en Arriendo, ingles, Bogo…;$700.000;65 m²;2;1
Apartamento en Arriendo, INGLES, Bo…;$700.000;60 m²;2;1
Apartamento en Arriendo, ingles, Bogo…;$700.000;60 m²;2;1
Apartamento en Arriendo, INGLES, Bo…;$700.000;60 m²;2;1
Apartamento en Arriendo, Tintal, Bogo…;$700.000;40 m²;2;1
Apartamento en Arriendo, Bosalinda (…;$700.000;40 m²;2;1
Apartamento en Arriendo, Bosalinda (…;$700.000;40 m²;2;1
Apartamento en Arriendo, Marco Fidel …;$700.000;38 m²;2;1
Apartamento en Arriendo, SANTA BAR…;$700.000;30 m²;2;1
Apartamento en Arriendo, SAN CRISTO…;$700.000;42 m²;2;1
Apartamento en Arriendo, San Benito, …;$700.000;46 m²;2;1
Apartamento en Arriendo, san cristoba…;$700.000;45 m²;2;1
Apartamento en Arriendo, SAN CRISTO…;$700.000;45 m²;2;1
Apartamento en Arriendo, SAN CRISTO…;$700.000;45 m²;2;1
Apartamento en Arriendo, BOCHICA III,…;$700.000;65 m²;2;1
Apartamento en Arriendo, San Francis…;$700.000;50 m²;2;1
Apartamento en Arriendo, Villa Teresit…;$700.000;55 m²;2;1
Apartamento en Arriendo, INGLES, Bo…;$700.000;60 m²;2;1
Apartamento en Arriendo, INGLES, Bo…;$700.000;60 m²;2;1
Apartamento en Arriendo, EL INGLES, …;$700.000;60 m²;2;1
Apartamento en Arriendo, INGLES, Bo…;$700.000;60 m²;2;1
Apartamento en Arriendo, ingles, Bogo…;$700.000;60 m²;2;1
